Name,Club,Nation,League,Rating,Main_Position,Alternate_Positions,Card_Version,Run_Style,Price,Price_Variation,Skills_Star,Weak_Foot_Star,Attack_Workrate,Defense_Workrate,Pace / Diving,Shooting / Handling,Passing / Kicking,Dribbling / Reflexes,Defense / Speed,Physical / Positioning,Height,BodyType,Popularity,Base_Stats,Ingame_Stats,Gender
Facundo Garcés,Colón,Argentina,LPF,73,CB,0,normal,Controlled Lengthy,350.0,0,2,4,M,M,57.0,37,54,56,74,77,"188cm | 6'2""",Tall & Normal  (82kg),0,355,1659,Male
Javier García,Boca Juniors,Argentina,Libertadores,73,GK,0,normal,Controlled,350.0,0,1,2,M,M,75.0,68,75,74,37,72,"182cm | 6'0""",Avg & Normal  (78kg),1,401,739,Male
Ali Gholizadeh,Lech Poznań,Iran,PKO BP Ekstraklasa,73,RM,"CAM,CF,RW",normal,Controlled Explosive,0.0,350,4,3,M,M,76.0,68,68,76,48,68,"176cm | 5'9""",Avg & Normal  (72kg),14,404,1894,Male
Jakob Glesnes,Philadelphia,Norway,MLS,73,CB,0,normal,Controlled Lengthy,350.0,0,2,3,M,H,52.0,55,56,60,73,84,"188cm | 6'2""",Tall & Normal  (84kg),3,380,1798,Male
Saviour Godwin,Casa Pia AC,Nigeria,Liga Portugal,73,LW,LM,normal,Explosive,0.0,0,4,4,H,M,92.0,69,59,77,40,64,"170cm | 5'7""",Short & Lean  (63kg),4,401,1838,Male
Jonathan Gómez,Racing Club,Argentina,Libertadores,73,CM,CAM,normal,Controlled Explosive,0.0,900,3,3,H,L,72.0,67,73,76,63,63,"171cm | 5'7""",Avg & Stocky  (71kg),1,414,1994,Male
Elias Gómez,Vélez Sarsfield,Argentina,LPF,73,LB,LWB,normal,Controlled,0.0,350,3,3,H,M,79.0,62,69,73,67,78,"175cm | 5'9""",Avg & Stocky  (79kg),0,428,2036,Male
Fábio Gonçalves Abreu,Beijing Guoan,Angola,CSL,73,ST,CF,normal,Controlled Lengthy,0.0,350,3,3,H,M,76.0,73,55,69,26,76,"182cm | 6'0""",Avg & Normal  (83kg),1,375,1776,Male
Zeca,Panathinaikos,Greece,Hellas Liga,73,CDM,CM,normal,Controlled Explosive,0.0,350,3,3,M,H,71.0,58,68,68,72,67,"182cm | 6'0""",Avg & Lean  (67kg),1,404,1943,Male
Francisco González Metilli,Argentinos Jrs.,Argentina,Libertadores,73,CAM,"RM,CM",normal,Controlled Explosive,0.0,350,3,2,H,M,73.0,70,70,74,41,68,"178cm | 5'10""",Avg & Normal  (70kg),-1,396,1891,Male
Lucas Gourna,RB Salzburg,France,Ö. Bundesliga,73,CDM,CM,normal,Controlled,0.0,350,2,3,M,H,76.0,52,65,71,70,76,"185cm | 6'1""",Tall & Lean  (78kg),14,410,1895,Male
Alex Grant,Pohang Steelers,Australia,K League 1,73,CB,0,normal,Controlled Lengthy,350.0,0,2,3,M,H,53.0,44,55,57,72,83,"191cm | 6'3""",Tall & Normal  (88kg),0,364,1697,Male
Julian Gressel,Columbus Crew,United States,MLS,73,RM,"RWB,CM,RW",normal,Controlled Lengthy,0.0,1.1K,3,4,M,H,70.0,64,73,70,63,78,"185cm | 6'1""",Tall & Normal  (84kg),1,418,2007,Male
Matt Grimes,Swansea City,England,EFL Championship,73,CM,CDM,normal,Controlled,0.0,350,3,5,M,H,62.0,58,75,72,66,68,"179cm | 5'10""",Avg & Lean  (70kg),6,401,1927,Male
Kamil Grosicki,Pogoń Szczecin,Poland,PKO BP Ekstraklasa,73,LM,LW,normal,Mostly Explosive,0.0,200,3,3,H,M,85.0,68,69,73,37,60,"180cm | 5'11""",Avg & Normal  (78kg),25,392,1874,Male
Carlos Gruezo,SJ Earthquakes,Ecuador,MLS,73,CDM,CM,normal,Controlled,0.0,650,2,3,L,H,58.0,46,61,67,70,74,"173cm | 5'8""",Avg & Normal  (71kg),1,376,1808,Male
Gabriel Gudmundsson,LOSC Lille,Sweden,Ligue 1 Uber Eats,73,LB,"LWB,LM",normal,Controlled Explosive,0.0,350,3,3,H,L,85.0,64,67,71,67,70,"180cm | 5'11""",Avg & Normal  (74kg),5,424,1950,Male
Guðmundsson,Burnley,Iceland,Premier League,73,CAM,"RM,CM",normal,Controlled,0.0,350,4,4,M,H,65.0,71,75,73,61,67,"179cm | 5'10""",Avg & Normal  (77kg),6,412,2021,Male
Paolo Guerrero,LDU Quito,Peru,Sudamericana,73,ST,CF,normal,Controlled Lengthy,0.0,0,4,4,M,L,53.0,75,68,70,37,64,"184cm | 6'0""",Avg & Normal  (86kg),39,367,1820,Male
Manuel Gulde,SC Freiburg,Germany,Bundesliga,73,CB,0,normal,Mostly Lengthy,350.0,0,2,2,M,M,64.0,40,51,58,75,71,"184cm | 6'0""",Avg & Normal  (80kg),1,359,1699,Male
Gerard Gumbau Garriga,Granada CF,Spain,LALIGA EA SPORTS,73,CM,"CDM,RM",normal,Controlled Lengthy,0.0,350,3,3,M,M,53.0,67,75,68,72,68,"187cm | 6'2""",Tall & Lean  (77kg),4,403,1937,Male
Samuel Gustafson,BK Häcken,Sweden,Allsvenskan,73,CDM,CM,normal,Controlled,0.0,350,3,3,M,L,61.0,58,75,72,67,72,"186cm | 6'1""",Tall & Lean  (80kg),-1,405,1930,Male
Ianis Hagi,D. Alavés,Romania,LALIGA EA SPORTS,73,CAM,CF,normal,Controlled,0.0,350,4,5,M,M,62.0,72,74,74,36,61,"182cm | 6'0""",Avg & Normal  (72kg),32,379,1862,Male
Haris Hajradinović,Kasımpaşa,Bosnia and Herzegovina,Trendyol Süper Lig,73,CM,CAM,normal,Controlled Explosive,0.0,350,3,3,M,M,75.0,67,76,75,54,68,"178cm | 5'10""",Avg & Normal  (74kg),1,415,2003,Male
Sead Hakšabanović,Celtic,Montenegro,cinch Prem,73,LW,LM,normal,Explosive,0.0,0,4,4,H,L,78.0,67,69,78,29,58,"173cm | 5'8""",Avg & Normal  (74kg),-1,379,1806,Male
Grant Hanley,Norwich,Scotland,EFL Championship,73,CB,0,normal,Controlled Lengthy,350.0,0,2,3,M,H,53.0,30,47,49,74,78,"187cm | 6'2""",Tall & Normal  (81kg),1,331,1546,Male
Ridgeciano Haps,Genoa,Suriname,Serie A TIM,73,LWB,"LB,LM",normal,Mostly Explosive,0.0,350,3,3,M,M,85.0,63,65,73,65,70,"175cm | 5'9""",Avg & Normal  (66kg),6,421,1963,Male
Makoto Hasebe,Frankfurt,Japan,Bundesliga,73,CB,CDM,normal,Controlled,0.0,350,3,3,M,M,50.0,51,72,70,77,59,"180cm | 5'11""",Avg & Lean  (72kg),17,379,1889,Male
Gabriel Hauche,Racing Club,Argentina,Libertadores,73,RW,"RM,LW",normal,Controlled Explosive,0.0,1.2K,4,3,H,M,77.0,71,70,74,43,72,"169cm | 5'7""",Short & Stocky  (71kg),2,407,1946,Male
Rhys Healey,Watford,England,EFL Championship,73,ST,CF,normal,Controlled Explosive,0.0,1.9K,3,3,H,H,74.0,75,61,71,30,60,"180cm | 5'11""",Avg & Normal  (72kg),5,371,1804,Male
Silvan Hefti,Genoa,Switzerland,Serie A TIM,73,RWB,"RB,RM",normal,Controlled Lengthy,0.0,850,2,3,H,H,78.0,49,63,65,67,80,"183cm | 6'0""",Avg & Normal  (80kg),2,402,1879,Male
Jack Hendry,Ettifaq FC,Scotland,ROSHN Saudi League,73,CB,0,normal,Lengthy,350.0,0,2,2,M,M,69.0,56,54,61,70,81,"194cm | 6'4""",Tall & Lean  (88kg),2,391,1791,Male
Wayne Hennessey,Nott'm Forest,Wales,Premier League,73,GK,0,normal,Controlled Lengthy,350.0,0,1,3,M,M,73.0,74,75,70,40,74,"198cm | 6'6""",Tall & Lean  (90kg),4,406,874,Male
Christophe Hérelle,Stade Brestois 29,France,Ligue 1 Uber Eats,73,CB,0,normal,Controlled Lengthy,0.0,0,2,2,L,M,50.0,48,61,61,73,73,"188cm | 6'2""",Tall & Lean  (79kg),1,366,1748,Male
Junior Hernández,Deportes Tolima,Colombia,Sudamericana,73,LB,"LWB,LM",normal,Controlled Explosive,0.0,600,3,3,M,M,83.0,59,65,68,69,55,"172cm | 5'8""",Avg & Normal  (69kg),1,399,1870,Male
Mees Hilgers,FC Twente,Holland,Eredivisie,73,CB,0,normal,Mostly Lengthy,350.0,0,2,3,H,M,69.0,43,53,59,74,75,"186cm | 6'1""",Tall & Lean  (78kg),7,373,1710,Male
Casper Højer,Sparta Praha,Denmark,Česká Liga,73,LWB,"LB,LM",normal,Controlled Lengthy,0.0,8K,3,2,H,L,74.0,69,75,70,67,73,"184cm | 6'0""",Avg & Normal  (75kg),-1,428,2048,Male
Fabian Holland,SV Darmstadt 98,Germany,Bundesliga,73,LWB,"LB,CDM",normal,Controlled Explosive,0.0,350,3,2,M,H,64.0,48,66,71,72,70,"172cm | 5'8""",Avg & Normal  (74kg),2,391,1903,Male
Hyeon Seok Hong,KAA Gent,Korea Republic,1A Pro League,73,CAM,"CDM,CM",normal,Controlled Explosive,0.0,350,3,3,M,M,68.0,69,72,76,64,68,"177cm | 5'10""",Avg & Lean  (69kg),9,417,2012,Male
Osmar Ibañez Barba,FC Seoul,Spain,K League 1,73,CB,"CDM,CM",normal,Controlled,0.0,750,2,3,M,H,34.0,60,67,56,73,82,"192cm | 6'4""",Tall & Normal  (86kg),2,372,1823,Male
Andrés Ibargüen,Indep. Medellín,Colombia,Libertadores,73,LM,LW,normal,Explosive,0.0,1.7K,3,3,H,M,91.0,65,69,76,37,44,"168cm | 5'6""",Short & Normal  (63kg),3,382,1804,Male
Roberto Insigne,Palermo,Italy,Serie BKT,73,RW,"RM,LW",normal,Explosive,0.0,350,3,2,H,M,82.0,67,71,75,27,45,"172cm | 5'8""",Avg & Normal  (65kg),4,367,1799,Male
Mikael Ishak,Lech Poznań,Sweden,PKO BP Ekstraklasa,73,ST,CF,normal,Mostly Lengthy,0.0,350,3,5,M,H,72.0,73,57,65,38,81,"184cm | 6'0""",Avg & Normal  (81kg),10,386,1812,Male
Cedric Itten,BSC Young Boys,Switzerland,CSSL,73,ST,CF,normal,Lengthy,0.0,350,3,3,H,M,70.0,75,62,67,36,80,"190cm | 6'3""",Tall & Normal  (84kg),4,390,1853,Male
Alireza Jahanbakhsh,Feyenoord,Iran,Eredivisie,73,RW,RM,normal,Controlled Explosive,0.0,350,3,4,H,H,72.0,75,69,74,47,74,"181cm | 5'11""",Avg & Normal  (78kg),19,411,1999,Male
Ismail Jakobs,AS Monaco,Senegal,Ligue 1 Uber Eats,73,LB,"LWB,LM",normal,Controlled,0.0,350,3,3,M,M,85.0,59,61,73,66,69,"184cm | 6'0""",Avg & Lean  (75kg),5,413,1872,Male
Jakub Jankto,Cagliari,Czech Republic,Serie A TIM,73,LM,"CM,LW",normal,Controlled,0.0,900,3,3,M,M,73.0,70,70,74,66,63,"184cm | 6'0""",Avg & Lean  (73kg),-27,416,2002,Male
Tin Jedvaj,Panathinaikos,Croatia,Hellas Liga,73,CB,0,normal,Controlled Lengthy,350.0,0,2,3,M,M,70.0,51,57,64,74,75,"185cm | 6'1""",Tall & Normal  (83kg),2,391,1802,Male
Václav Jemelka,Viktoria Plzeň,Czech Republic,Česká Liga,73,CB,LB,normal,Mostly Lengthy,0.0,350,2,2,H,M,66.0,49,63,67,73,77,"187cm | 6'2""",Tall & Normal  (81kg),3,395,1842,Male
Isaiah Jones,Middlesbrough,England,EFL Championship,73,RWB,"RB,RM",normal,Mostly Explosive,0.0,350,3,4,H,M,85.0,55,65,73,64,59,"176cm | 5'9""",Avg & Lean  (71kg),11,401,1830,Male
João Pedro,Brighton,Brazil,Premier League,73,ST,"CAM,CF",normal,Controlled Explosive,0.0,350,3,4,H,M,77.0,70,62,76,25,60,"182cm | 6'0""",Avg & Lean  (70kg),135,370,1765,Male
David Jurásek,SL Benfica,Czech Republic,Liga Portugal,73,LB,"LWB,LM",normal,Controlled Lengthy,0.0,650,4,2,H,M,84.0,61,71,72,67,77,"183cm | 6'0""",Avg & Normal  (76kg),10,432,2044,Male
Issa Kabore,Luton Town,Burkina Faso,Premier League,73,RWB,"RB,RM",normal,Controlled Explosive,0.0,350,2,3,H,M,87.0,39,63,72,65,74,"180cm | 5'11""",Avg & Lean  (72kg),12,400,1811,Male
Tino Kadewere,OL,Zimbabwe,Ligue 1 Uber Eats,73,ST,"RM,CF,RW",normal,Controlled,0.0,1.9K,3,3,H,M,74.0,73,67,74,38,67,"183cm | 6'0""",Avg & Lean  (72kg),3,393,1889,Male
Gédéon Kalulu,FC Lorient,Congo DR,Ligue 1 Uber Eats,73,RB,RWB,normal,Controlled,0.0,350,2,3,M,M,81.0,40,57,69,72,76,"176cm | 5'9""",Avg & Stocky  (74kg),0,395,1805,Male
Glen Kamara,Rangers,Finland,cinch Prem,73,CM,0,normal,Controlled,0.0,0,3,4,M,M,75.0,61,68,76,69,73,"183cm | 6'0""",Avg & Lean  (73kg),9,422,1990,Male
Thomas Kaminski,Luton Town,Belgium,Premier League,73,GK,0,normal,Controlled,350.0,0,1,3,M,M,72.0,75,69,74,46,67,"190cm | 6'3""",Tall & Lean  (78kg),9,403,918,Male
Ercan Kara,Orlando City,Austria,MLS,73,ST,CF,normal,Lengthy,0.0,0,2,3,M,M,75.0,74,51,62,28,86,"192cm | 6'4""",Tall & Normal  (88kg),2,376,1758,Male
Yann Karamoh,Torino,France,Serie A TIM,73,CF,"LM,ST",normal,Controlled,0.0,2K,4,4,H,M,77.0,68,68,76,31,60,"185cm | 6'1""",Tall & Normal  (77kg),28,380,1814,Male
Oleksandr Karavaev,Dynamo Kyiv,Ukraine,Ukrayina Liha,73,RB,"RWB,LB,RM",normal,Controlled Explosive,0.0,550,3,4,H,M,77.0,55,70,71,65,64,"175cm | 5'9""",Avg & Normal  (71kg),4,402,1873,Male
Atakan Karazor,VfB Stuttgart,Germany,Bundesliga,73,CDM,"CB,CM",normal,Controlled Lengthy,0.0,350,2,3,L,M,51.0,36,61,62,76,72,"191cm | 6'3""",Tall & Lean  (76kg),14,358,1666,Male
Michał Karbownik,Hertha Berlin,Poland,Bundesliga 2,73,LB,LWB,normal,Controlled Explosive,0.0,950,2,4,H,H,79.0,45,69,74,68,63,"175cm | 5'9""",Avg & Lean  (65kg),11,398,1850,Male
Jesper Karlström,Lech Poznań,Sweden,PKO BP Ekstraklasa,73,CDM,0,normal,Controlled Lengthy,350.0,0,2,3,M,H,67.0,54,65,67,70,83,"182cm | 6'0""",Avg & Normal  (81kg),2,406,1926,Male
Tomasz Kędziora,PAOK FC,Poland,Hellas Liga,73,RB,"RWB,CB",normal,Controlled,0.0,350,2,3,H,M,77.0,46,66,64,71,73,"183cm | 6'0""",Avg & Lean  (77kg),4,397,1846,Male
Caoimhin Kelleher,Liverpool,Republic of Ireland,Premier League,73,GK,0,normal,Controlled,350.0,0,1,3,M,M,72.0,71,74,76,43,70,"188cm | 6'2""",Tall & Lean  (74kg),46,406,846,Male
Lloyd Kelly,AFC Bournemouth,England,Premier League,73,CB,LB,normal,Mostly Lengthy,0.0,350,3,3,M,M,70.0,40,62,68,73,75,"190cm | 6'3""",Tall & Lean  (76kg),17,388,1806,Male
Gyrano Kerk,Royal Antwerp FC,Holland,1A Pro League,73,RM,"RW,ST",normal,Controlled,0.0,350,3,2,H,M,91.0,71,64,74,36,72,"183cm | 6'0""",Avg & Stocky  (80kg),4,408,1891,Male
Sung Yueng Ki,FC Seoul,Korea Republic,K League 1,73,CM,CDM,normal,Controlled Lengthy,0.0,350,3,5,M,M,46.0,63,77,68,64,75,"189cm | 6'2""",Tall & Lean  (75kg),1,393,1935,Male
Young Gwon Kim,Ulsan Hyundai,Korea Republic,K League 1,73,CB,0,normal,Mostly Lengthy,350.0,0,2,3,M,H,69.0,44,63,60,72,79,"186cm | 6'1""",Tall & Normal  (74kg),3,387,1825,Male
Maurits Kjaergaard,RB Salzburg,Denmark,Ö. Bundesliga,73,LM,"CM,LW",normal,Controlled,0.0,350,3,3,H,M,75.0,70,71,71,63,75,"192cm | 6'4""",Tall & Lean  (70kg),12,425,2019,Male
Hervé Koffi,Sp. Charleroi,Burkina Faso,1A Pro League,73,GK,0,normal,Controlled Lengthy,350.0,0,1,3,M,M,75.0,69,68,76,56,67,"186cm | 6'1""",Tall & Normal  (81kg),5,411,899,Male
Dominik Kotarski,PAOK FC,Croatia,Hellas Liga,73,GK,0,normal,Controlled,350.0,0,1,2,M,M,72.0,67,72,77,36,73,"189cm | 6'2""",Tall & Normal  (75kg),3,397,847,Male
Jean Evrard Kouassi,Zhejiang Pro,Côte d'Ivoire,CSL,73,LW,"LM,RW,ST",normal,Mostly Explosive,0.0,350,4,4,H,M,89.0,69,59,77,31,69,"180cm | 5'11""",Avg & Normal  (82kg),2,394,1846,Male
Boubakar Kouyaté,Montpellier,Mali,Ligue 1 Uber Eats,73,CB,0,normal,Mostly Lengthy,350.0,0,2,4,M,M,63.0,36,50,58,73,76,"192cm | 6'4""",Tall & Normal  (78kg),5,356,1642,Male
Dawid Kownacki,SV Werder Bremen,Poland,Bundesliga,73,ST,"CAM,CF",normal,Controlled,0.0,350,3,3,M,M,76.0,74,64,73,34,68,"185cm | 6'1""",Tall & Normal  (75kg),22,389,1840,Male
Emil Krafth,Newcastle Utd,Sweden,Premier League,73,RB,"RWB,CB",normal,Controlled Lengthy,0.0,350,3,3,M,M,61.0,58,68,70,75,67,"184cm | 6'0""",Avg & Normal  (83kg),2,399,1912,Male
Damir Kreilach,Real Salt Lake,Croatia,MLS,73,ST,"CDM,CAM,CF",normal,Controlled Lengthy,0.0,350,3,3,H,M,42.0,74,71,72,64,81,"186cm | 6'1""",Tall & Normal  (78kg),1,404,2013,Male
Filip Krovinović,Hajduk Split,Croatia,Liga Hrvatska,73,CAM,"CDM,CM",normal,Controlled,0.0,350,4,4,M,M,67.0,68,74,75,61,62,"177cm | 5'10""",Avg & Normal  (70kg),1,407,1967,Male
Tim Krul,Luton Town,Holland,Premier League,73,GK,0,normal,Controlled,350.0,0,1,2,M,M,73.0,72,71,76,37,71,"188cm | 6'2""",Tall & Lean  (74kg),17,400,872,Male
Sven Kums,KAA Gent,Belgium,1A Pro League,73,CM,0,normal,Controlled,350.0,0,3,4,M,H,42.0,69,75,72,70,67,"176cm | 5'9""",Avg & Normal  (73kg),2,395,1989,Male
Layvin Kurzawa,Paris SG,France,Ligue 1 Uber Eats,73,LB,LWB,normal,Controlled,0.0,900,3,3,H,L,66.0,65,72,75,72,67,"182cm | 6'0""",Avg & Lean  (74kg),3,417,1996,Male
Giorgi Kvilitaia,Apoel FC,Georgia,Liga Cyprus,73,ST,CF,normal,Mostly Lengthy,0.0,350,2,4,H,L,64.0,73,59,70,37,75,"193cm | 6'4""",Tall & Lean  (80kg),3,378,1797,Male
Giorgos Kyriakopoulos,Monza,Greece,Serie A TIM,73,LWB,"LB,LM",normal,Controlled,0.0,350,2,2,M,M,67.0,49,64,71,71,68,"178cm | 5'10""",Avg & Normal  (74kg),2,390,1818,Male
Qazim Laçi,Sparta Praha,Albania,Česká Liga,73,CM,CDM,normal,Controlled Explosive,0.0,600,3,3,H,H,72.0,68,72,74,68,75,"175cm | 5'9""",Avg & Lean  (67kg),6,429,2047,Male
Loïc Lapoussin,R. Union St.-G.,Madagascar,1A Pro League,73,LM,"CM,LW",normal,Controlled Explosive,0.0,350,3,3,M,M,75.0,65,67,76,67,72,"181cm | 5'11""",Avg & Lean  (70kg),7,422,1956,Male
Jacob Bruun Larsen,Burnley,Denmark,Premier League,73,ST,"LM,CF",normal,Controlled,0.0,350,3,4,M,M,83.0,72,69,73,55,66,"183cm | 6'0""",Avg & Normal  (77kg),14,418,1984,Male
Jørgen Strand Larsen,RC Celta,Norway,LALIGA EA SPORTS,73,ST,CF,normal,Mostly Lengthy,0.0,350,3,3,H,M,77.0,72,56,67,32,82,"193cm | 6'4""",Tall & Lean  (79kg),16,386,1804,Male
Gautier Larsonneur,AS Saint-Étienne,France,Ligue 2 BKT,73,GK,0,normal,Controlled,350.0,0,1,2,M,M,72.0,71,72,74,52,72,"181cm | 5'11""",Avg & Lean  (70kg),1,413,933,Male
Antonio Latorre Grueso,RCD Mallorca,Spain,LALIGA EA SPORTS,73,LB,"LWB,LM",normal,Controlled Explosive,0.0,750,3,4,H,M,74.0,56,71,71,68,60,"171cm | 5'7""",Avg & Normal  (64kg),-1,400,1908,Male
Romeo Lavia,Chelsea,Belgium,Premier League,73,CDM,0,normal,Controlled,350.0,0,3,3,M,H,70.0,42,66,75,72,74,"181cm | 5'11""",Avg & Normal  (75kg),267,399,1861,Male
Tom Lawrence,Rangers,Wales,cinch Prem,73,CAM,"CM,LM",normal,Controlled Explosive,0.0,350,4,3,H,M,74.0,74,72,73,43,71,"180cm | 5'11""",Avg & Lean  (75kg),4,407,1956,Male
José Carlos Lazo Romero,RCD Espanyol,Spain,LALIGA HYPERMOTION,73,LM,"ST,LW",normal,Controlled Explosive,0.0,350,3,5,M,M,77.0,72,71,75,34,55,"180cm | 5'11""",Avg & Normal  (69kg),4,384,1808,Male
Jérémy Le Douaron,Stade Brestois 29,France,Ligue 1 Uber Eats,73,ST,"CF,LW",normal,Mostly Lengthy,0.0,350,3,2,M,M,67.0,72,66,72,49,74,"189cm | 6'2""",Tall & Lean  (78kg),0,400,1873,Male
Darragh Lenihan,Middlesbrough,Republic of Ireland,EFL Championship,73,CB,0,normal,Mostly Lengthy,350.0,0,2,3,M,H,67.0,46,58,59,73,76,"188cm | 6'2""",Tall & Normal  (76kg),3,379,1775,Male
Christopher Lenz,RB Leipzig,Germany,Bundesliga,73,LWB,"LB,LM",normal,Controlled,0.0,350,3,3,M,M,70.0,42,67,69,72,70,"181cm | 5'11""",Avg & Normal  (81kg),3,390,1847,Male
Sergio León Limones,R. Valladolid CF,Spain,LALIGA HYPERMOTION,73,ST,CF,normal,Controlled Explosive,0.0,0,3,4,H,M,74.0,74,67,74,39,70,"178cm | 5'10""",Avg & Normal  (73kg),2,398,1925,Male
Johann Lepenant,OL,France,Ligue 1 Uber Eats,73,CDM,CM,normal,Controlled Explosive,0.0,650,3,3,M,M,70.0,44,67,71,69,70,"176cm | 5'9""",Avg & Lean  (71kg),6,391,1843,Male
Lukas Lerager,F.C. København,Denmark,3F Superliga,73,CM,0,normal,Controlled Lengthy,350.0,0,3,3,H,H,68.0,69,69,69,72,82,"188cm | 6'2""",Tall & Normal  (82kg),-4,429,2064,Male
Rico Lewis,Manchester City,England,Premier League,73,RB,"RWB,CDM",normal,Controlled Explosive,0.0,1.3K,3,3,H,M,74.0,43,67,72,70,59,"175cm | 5'9""",Avg & Normal  (70kg),172,385,1799,Male
Andrés Llinás,Millonarios,Colombia,Sudamericana,73,CB,0,normal,Mostly Lengthy,200.0,0,2,3,M,H,63.0,29,50,55,73,75,"187cm | 6'2""",Tall & Normal  (73kg),3,345,1569,Male
Raúl Loaiza,Lanús,Colombia,LPF,73,CDM,CM,normal,Controlled,0.0,1.4K,3,3,M,H,57.0,46,66,66,70,77,"180cm | 5'11""",Avg & Normal  (70kg),1,382,1795,Male
Robin Lod,Minnesota United,Finland,MLS,73,RM,"CM,RW,ST",normal,Controlled,0.0,750,3,4,M,M,73.0,71,71,73,56,71,"181cm | 5'11""",Avg & Normal  (82kg),2,415,1964,Male
Luciano Lollo,Estudiantes,Argentina,Sudamericana,73,CB,0,normal,Controlled,350.0,0,2,2,L,M,36.0,49,50,48,75,72,"184cm | 6'0""",Avg & Normal  (88kg),0,330,1598,Male
Luis Lopes,Aberdeen,Cape Verde Islands,cinch Prem,73,ST,"LM,CF,LW",normal,Controlled Explosive,0.0,350,4,3,H,M,86.0,70,60,74,27,68,"178cm | 5'10""",Avg & Normal  (75kg),22,385,1840,Male
Leonardo Lopes de Souza,Zhejiang Pro,Brazil,CSL,73,ST,CF,normal,Controlled Explosive,0.0,350,3,3,H,M,78.0,75,57,71,33,67,"180cm | 5'11""",Avg & Lean  (77kg),2,381,1835,Male
Pedro Pereira,Monza,Portugal,Serie A TIM,73,RWB,"RB,RM",normal,Controlled,0.0,300,3,2,M,M,75.0,39,65,71,69,66,"185cm | 6'1""",Tall & Normal  (72kg),1,385,1825,Male
Hernán López Muñoz,Godoy Cruz,Argentina,LPF,73,CAM,"RM,LM",normal,Explosive,0.0,350,4,2,H,L,84.0,66,66,79,36,50,"168cm | 5'6""",Short & Normal  (67kg),6,381,1792,Male
Dion Lopy,UD Almería,Senegal,LALIGA EA SPORTS,73,CDM,CM,normal,Controlled Lengthy,0.0,300,2,3,M,M,64.0,61,70,73,69,73,"186cm | 6'1""",Tall & Normal  (79kg),3,410,1940,Male
Nahuel Losada,Belgrano,Argentina,LPF,73,GK,0,normal,Controlled,350.0,0,1,2,M,M,74.0,74,72,69,41,70,"185cm | 6'1""",Tall & Normal  (79kg),4,400,834,Male
Imran Louza,Watford,Morocco,EFL Championship,73,CM,CDM,normal,Controlled,0.0,350,4,3,M,H,61.0,65,73,75,63,60,"178cm | 5'10""",Avg & Lean  (65kg),8,397,1936,Male
Anthony Lozano,Getafe CF,Honduras,LALIGA EA SPORTS,73,ST,"LM,CF",normal,Mostly Lengthy,0.0,350,3,3,M,L,78.0,73,66,71,36,75,"185cm | 6'1""",Tall & Normal  (74kg),17,399,1869,Male
Pol Lozano Vizuete,RCD Espanyol,Spain,LALIGA HYPERMOTION,73,CDM,CM,normal,Controlled Explosive,0.0,550,3,3,M,H,73.0,60,68,70,67,74,"177cm | 5'10""",Avg & Lean  (62kg),0,412,1916,Male
Fabio Lucioni,Palermo,Italy,Serie BKT,73,CB,0,normal,Controlled Lengthy,350.0,0,2,4,L,H,51.0,36,50,51,75,76,"185cm | 6'1""",Tall & Normal  (80kg),2,339,1654,Male
John Lundstram,Rangers,England,cinch Prem,73,CM,"CB,CDM",normal,Controlled Lengthy,0.0,350,2,5,M,M,62.0,69,70,71,70,77,"181cm | 5'11""",Avg & Normal  (74kg),8,419,2009,Male
Senne Lynen,SV Werder Bremen,Belgium,Bundesliga,73,CDM,CM,normal,Mostly Lengthy,0.0,200,2,3,M,H,54.0,62,71,66,69,76,"185cm | 6'1""",Tall & Normal  (82kg),7,398,1907,Male
Jamie Maclaren,Melbourne City,Australia,A-League,73,ST,CF,normal,Mostly Explosive,0.0,350,3,5,H,M,81.0,73,62,70,38,76,"179cm | 5'10""",Avg & Normal  (76kg),14,400,1953,Male
Giangiacomo Magnani,Hellas Verona,Italy,Serie A TIM,73,CB,0,normal,Lengthy,350.0,0,2,3,L,H,69.0,37,45,50,74,73,"191cm | 6'3""",Tall & Normal  (87kg),2,348,1582,Male
Hugo Magnetti,Stade Brestois 29,France,Ligue 1 Uber Eats,73,CDM,CM,normal,Controlled,0.0,1.4K,3,3,M,H,45.0,49,67,72,68,75,"180cm | 5'11""",Avg & Stocky  (75kg),0,376,1820,Male
Yohann Magnin,Clermont Foot 63,France,Ligue 1 Uber Eats,73,CDM,CM,normal,Controlled,0.0,350,3,3,M,M,65.0,57,63,68,70,69,"183cm | 6'0""",Avg & Lean  (71kg),1,392,1840,Male
Josh Maja,West Brom,Nigeria,EFL Championship,73,ST,"CAM,CF",normal,Controlled Explosive,0.0,350,3,3,M,L,77.0,74,62,74,28,63,"181cm | 5'11""",Avg & Normal  (76kg),13,378,1794,Male
Jean-Victor Makengo,FC Lorient,France,Ligue 1 Uber Eats,73,CM,CDM,normal,Controlled,0.0,350,3,3,H,H,63.0,66,72,73,73,70,"177cm | 5'10""",Avg & Normal  (75kg),5,417,2010,Male
Wilson Manafá,Granada CF,Portugal,LALIGA EA SPORTS,73,RB,"RWB,LB",normal,Explosive,0.0,900,3,4,H,M,84.0,58,67,72,69,66,"175cm | 5'9""",Avg & Normal  (72kg),42,416,1959,Male
